road_spectrum_ratio,cavity_ratio,edge_density,non_road_ratio,average_brightness,defect_type,location_type
74.22,1.23,38.08,8.24,67.51,Crack,Road
8.66,0.65,2.45,39.07,86.72,None,Non-Road
71.4,1.31,30.21,9.21,114.43,Crack,Road
14.21,20.7,20.01,62.72,153.43,Pothole,Non-Road
7.47,0.38,2.23,47.01,111.62,None,Non-Road
17.08,8.57,11.63,70.46,112.43,Damage,Non-Road
14.04,10.16,7.96,47.79,60.58,Damage,Non-Road
63.22,6.2,18.61,7.93,86.78,Damage,Road
68.89,22.6,9.89,15.06,71.75,Pothole,Road
19.49,0.89,29.88,73.74,36.35,Crack,Non-Road
77.32,1.91,31.03,2.91,141.09,Crack,Road
70.94,27.89,19.0,7.18,135.96,Pothole,Road
71.38,1.1,3.67,6.2,101.96,None,Road
9.02,0.28,1.58,71.37,144.29,None,Non-Road
67.85,25.32,14.11,9.12,140.09,Pothole,Road
17.83,0.94,3.43,52.9,97.75,None,Non-Road
70.66,0.84,30.62,10.34,92.63,Crack,Road
11.79,22.8,18.72,63.14,89.35,Pothole,Non-Road
68.01,1.95,30.97,12.58,79.36,Crack,Road
59.56,18.34,9.99,3.75,51.84,Pothole,Road
6.88,5.61,12.58,61.17,95.19,Damage,Non-Road
17.22,7.92,9.52,64.16,106.9,Damage,Non-Road
20.17,8.74,14.61,80.23,82.15,Damage,Non-Road
14.28,1.62,34.93,72.53,114.65,Crack,Non-Road
70.1,0.62,2.03,13.2,109.95,None,Road
12.48,16.0,17.79,54.21,90.77,Pothole,Non-Road
65.45,1.43,3.75,4.93,176.82,None,Road
86.11,9.98,12.39,3.61,80.78,Damage,Road
79.34,8.17,14.52,14.46,77.59,Damage,Road
78.68,1.46,1.91,8.01,131.5,None,Road
67.27,0.34,1.08,5.7,85.47,None,Road
74.61,13.11,14.93,3.97,94.15,Pothole,Road
18.2,1.65,1.87,58.35,131.43,None,Non-Road
72.37,1.67,38.56,13.05,143.55,Crack,Road
0.0,10.29,12.2,82.83,105.13,Damage,Non-Road
1.59,1.58,33.71,77.88,150.07,Crack,Non-Road
5.01,11.48,12.4,82.84,92.32,Damage,Non-Road
69.76,20.47,15.14,9.29,100.66,Pothole,Road
73.09,1.31,30.09,10.26,72.95,Crack,Road
12.57,1.51,1.95,71.28,113.03,None,Non-Road
75.65,15.89,17.69,7.03,81.06,Pothole,Road
10.65,0.71,32.0,66.58,109.8,Crack,Non-Road
82.25,19.15,18.47,12.88,114.46,Pothole,Road
